fpr,tpr,threshold
0.0,0.0,inf
0.0,0.002976190476190476,0.8666666666666667
0.00021240441801189465,0.002976190476190476,0.86
0.00021240441801189465,0.03869047619047619,0.8233333333333334
0.00021240441801189465,0.047619047619047616,0.8116666666666666
0.00021240441801189465,0.06547619047619048,0.77
0.00021240441801189465,0.07142857142857142,0.7583333333333333
0.00021240441801189465,0.07738095238095238,0.75
0.00021240441801189465,0.08333333333333333,0.745
0.00021240441801189465,0.1130952380952381,0.6916666666666667
0.0004248088360237893,0.11607142857142858,0.6883333333333334
0.0004248088360237893,0.125,0.6816666666666666
0.0004248088360237893,0.13095238095238096,0.675
0.0004248088360237893,0.14583333333333334,0.6616666666666666
0.000637213254035684,0.14583333333333334,0.6583333333333333
0.000637213254035684,0.15178571428571427,0.6433333333333333
0.000637213254035684,0.15476190476190477,0.6366666666666667
0.000637213254035684,0.16071428571428573,0.635
0.000637213254035684,0.1636904761904762,0.63
0.0008496176720475786,0.17261904761904762,0.6283333333333333
0.0008496176720475786,0.17857142857142858,0.625
0.0008496176720475786,0.19047619047619047,0.6233333333333333
0.0008496176720475786,0.19642857142857142,0.6216666666666667
0.0008496176720475786,0.20535714285714285,0.6166666666666667
0.0008496176720475786,0.2113095238095238,0.615
0.0008496176720475786,0.22023809523809523,0.6083333333333333
0.0010620220900594733,0.2261904761904762,0.6066666666666667
0.0010620220900594733,0.23809523809523808,0.6
0.0010620220900594733,0.24702380952380953,0.5966666666666667
0.001274426508071368,0.24702380952380953,0.595
0.001274426508071368,0.25595238095238093,0.5933333333333334
0.001274426508071368,0.25892857142857145,0.5916666666666667
0.001274426508071368,0.2648809523809524,0.59
0.0014868309260832626,0.2648809523809524,0.5883333333333334
0.0016992353440951572,0.26785714285714285,0.5866666666666667
0.0016992353440951572,0.27380952380952384,0.585
0.0016992353440951572,0.2767857142857143,0.5783333333333334
0.0021240441801189465,0.2767857142857143,0.5766666666666667
0.0021240441801189465,0.28273809523809523,0.575
0.002336448598130841,0.2916666666666667,0.5733333333333334
0.002548853016142736,0.29464285714285715,0.5716666666666667
0.002548853016142736,0.3005952380952381,0.57
0.002548853016142736,0.30654761904761907,0.565
0.002973661852166525,0.30952380952380953,0.5566666666666666
0.0031860662701784196,0.30952380952380953,0.555
0.0031860662701784196,0.3273809523809524,0.5516666666666666
0.0031860662701784196,0.3392857142857143,0.5483333333333333
0.0033984706881903144,0.34523809523809523,0.5466666666666666
0.003610875106202209,0.3482142857142857,0.545
0.003610875106202209,0.3541666666666667,0.5416666666666666
0.0038232795242141037,0.3541666666666667,0.54
0.0038232795242141037,0.3601190476190476,0.5333333333333333
0.004035683942225999,0.3601190476190476,0.5316666666666666
0.004035683942225999,0.36904761904761907,0.5266666666666666
0.004035683942225999,0.37797619047619047,0.525
0.004035683942225999,0.38392857142857145,0.5233333333333333
0.004248088360237893,0.38392857142857145,0.515
0.004248088360237893,0.3869047619047619,0.5133333333333333
0.004248088360237893,0.3958333333333333,0.51
0.004248088360237893,0.4017857142857143,0.5016666666666667
0.0044604927782497875,0.40476190476190477,0.5
0.0044604927782497875,0.4107142857142857,0.49666666666666665
0.004885301614273577,0.41369047619047616,0.495
0.005097706032285472,0.4166666666666667,0.49166666666666664
0.005097706032285472,0.4226190476190476,0.48833333333333334
0.005097706032285472,0.4255952380952381,0.4866666666666667
0.0055225148683092605,0.42857142857142855,0.485
0.005734919286321156,0.43154761904761907,0.48333333333333334
0.006159728122344945,0.4375,0.4816666666666667
0.006159728122344945,0.44345238095238093,0.47833333333333333
0.006159728122344945,0.4494047619047619,0.475
0.006372132540356839,0.4494047619047619,0.47
0.006372132540356839,0.4523809523809524,0.4666666666666667
0.006584536958368734,0.45535714285714285,0.465
0.006584536958368734,0.4583333333333333,0.46166666666666667
0.006796941376380629,0.4642857142857143,0.4583333333333333
0.006796941376380629,0.46726190476190477,0.45666666666666667
0.007009345794392523,0.46726190476190477,0.455
0.007009345794392523,0.47023809523809523,0.45166666666666666
0.007221750212404418,0.47023809523809523,0.4483333333333333
0.007221750212404418,0.47619047619047616,0.44666666666666666
0.007221750212404418,0.4791666666666667,0.445
0.007221750212404418,0.4880952380952381,0.44166666666666665
0.007221750212404418,0.49404761904761907,0.43833333333333335
0.007434154630416313,0.49404761904761907,0.435
0.008071367884451997,0.49404761904761907,0.43333333333333335
0.008071367884451997,0.5,0.43
0.00828377230246389,0.5,0.42833333333333334
0.00828377230246389,0.5029761904761905,0.4216666666666667
0.008496176720475786,0.5089285714285714,0.42
0.008496176720475786,0.5119047619047619,0.4166666666666667
0.008708581138487681,0.5119047619047619,0.4116666666666667
0.008920985556499575,0.5178571428571429,0.41
0.008920985556499575,0.5208333333333334,0.4083333333333333
0.009345794392523364,0.5208333333333334,0.4066666666666667
0.010195412064570943,0.5238095238095238,0.405
0.010195412064570943,0.5267857142857143,0.4033333333333333
0.010620220900594732,0.5297619047619048,0.4
0.011045029736618521,0.5297619047619048,0.3983333333333333
0.011045029736618521,0.5357142857142857,0.395
0.011257434154630416,0.5357142857142857,0.3933333333333333
0.011257434154630416,0.5416666666666666,0.39
0.011469838572642312,0.5446428571428571,0.38666666666666666
0.011682242990654205,0.5446428571428571,0.385
0.012107051826677994,0.5476190476190477,0.38
0.012531860662701785,0.5476190476190477,0.37333333333333335
0.013169073916737469,0.5476190476190477,0.37
0.013381478334749362,0.5476190476190477,0.36833333333333335
0.013381478334749362,0.5565476190476191,0.365
0.013593882752761258,0.5595238095238095,0.3616666666666667
0.014018691588785047,0.5595238095238095,0.36
0.014018691588785047,0.5654761904761905,0.35833333333333334
0.014443500424808835,0.5654761904761905,0.3516666666666667
0.014868309260832626,0.5684523809523809,0.35
0.014868309260832626,0.5744047619047619,0.34833333333333333
0.014868309260832626,0.5773809523809523,0.3466666666666667
0.01508071367884452,0.5773809523809523,0.3416666666666667
0.015293118096856415,0.5803571428571429,0.34
0.015293118096856415,0.5863095238095238,0.3383333333333333
0.015505522514868308,0.5863095238095238,0.33666666666666667
0.015505522514868308,0.5922619047619048,0.335
0.015717926932880204,0.5922619047619048,0.33166666666666667
0.0159303313508921,0.5952380952380952,0.33
0.0159303313508921,0.5982142857142857,0.3283333333333333
0.016142735768903994,0.6011904761904762,0.325
0.016142735768903994,0.6071428571428571,0.32
0.01656754460492778,0.6071428571428571,0.31666666666666665
0.016992353440951572,0.6130952380952381,0.315
0.017204757858963467,0.6190476190476191,0.31166666666666665
0.017417162276975363,0.6190476190476191,0.31
0.017417162276975363,0.625,0.30833333333333335
0.017629566694987255,0.625,0.30666666666666664
0.018054375531011045,0.625,0.305
0.01826677994902294,0.6279761904761905,0.30333333333333334
0.018479184367034836,0.6279761904761905,0.29833333333333334
