precision,recall,threshold
0.06661379857256146,1.0,0.0
0.07336244541484715,1.0,0.0016666666666666668
0.08298345270437145,1.0,0.0033333333333333335
0.0926950747094632,0.9970238095238095,0.005
0.10130421595389748,0.9940476190476191,0.006666666666666667
0.11100033233632436,0.9940476190476191,0.008333333333333333
0.1195262024407753,0.9910714285714286,0.01
0.12903225806451613,0.9880952380952381,0.011666666666666667
0.13638236505974455,0.9851190476190477,0.013333333333333334
0.1441637630662021,0.9851190476190477,0.015
0.15288683602771364,0.9851190476190477,0.016666666666666666
0.16042780748663102,0.9821428571428571,0.018333333333333333
0.16828148903620602,0.9821428571428571,0.02
0.17398202009518773,0.9791666666666666,0.021666666666666667
0.17958515283842794,0.9791666666666666,0.023333333333333334
0.1865079365079365,0.9791666666666666,0.025
0.19147694103911267,0.9761904761904762,0.02666666666666667
0.1977025392986699,0.9732142857142857,0.028333333333333332
0.20591939546599497,0.9732142857142857,0.03
0.21372549019607842,0.9732142857142857,0.03166666666666667
0.21908602150537634,0.9702380952380952,0.03333333333333333
0.22609909281228194,0.9642857142857143,0.035
0.23376623376623376,0.9642857142857143,0.03666666666666667
0.24050632911392406,0.9613095238095238,0.03833333333333333
0.2475095785440613,0.9613095238095238,0.04
0.2509742790335152,0.9583333333333334,0.041666666666666664
0.2574178027265437,0.9553571428571429,0.043333333333333335
0.26251025430680885,0.9523809523809523,0.045
0.2680672268907563,0.9494047619047619,0.04666666666666667
0.274374460742019,0.9464285714285714,0.04833333333333333
0.2778264680105171,0.9434523809523809,0.05
0.285972850678733,0.9404761904761905,0.051666666666666666
0.29259259259259257,0.9404761904761905,0.05333333333333334
0.2989593188268685,0.9404761904761905,0.055
0.30405405405405406,0.9375,0.056666666666666664
0.3099703849950642,0.9345238095238095,0.058333333333333334
0.3162134944612286,0.9345238095238095,0.06
0.31869254341164455,0.9285714285714286,0.06166666666666667
0.325,0.9285714285714286,0.06333333333333334
0.3270042194092827,0.9226190476190477,0.065
0.3300970873786408,0.9107142857142857,0.06666666666666667
0.33406113537117904,0.9107142857142857,0.06833333333333333
0.33849557522123896,0.9107142857142857,0.07
0.3434343434343434,0.9107142857142857,0.07166666666666667
0.3485714285714286,0.9077380952380952,0.07333333333333333
0.3543859649122807,0.9017857142857143,0.075
0.3577331759149941,0.9017857142857143,0.07666666666666666
0.3641826923076923,0.9017857142857143,0.07833333333333334
0.36874236874236876,0.8988095238095238,0.08
0.3728395061728395,0.8988095238095238,0.08166666666666667
0.37702871410736577,0.8988095238095238,0.08333333333333333
0.384418901660281,0.8958333333333334,0.085
0.38838709677419353,0.8958333333333334,0.08666666666666667
0.392904073587385,0.8898809523809523,0.08833333333333333
0.39655172413793105,0.8898809523809523,0.09
0.3983957219251337,0.8869047619047619,0.09166666666666666
0.40771349862258954,0.8809523809523809,0.09333333333333334
0.4158415841584158,0.875,0.095
0.42120343839541546,0.875,0.09666666666666666
0.4291970802919708,0.875,0.09833333333333333
0.43601190476190477,0.8720238095238095,0.1
0.4425981873111782,0.8720238095238095,0.10166666666666667
0.44732824427480916,0.8720238095238095,0.10333333333333333
0.4496124031007752,0.8630952380952381,0.105
0.45425867507886436,0.8571428571428571,0.10666666666666667
0.4585987261146497,0.8571428571428571,0.10833333333333334
0.4599358974358974,0.8541666666666666,0.11
0.4651539708265802,0.8541666666666666,0.11166666666666666
0.46895424836601307,0.8541666666666666,0.11333333333333333
0.47516556291390727,0.8541666666666666,0.115
0.4831081081081081,0.8511904761904762,0.11666666666666667
0.48713550600343053,0.8452380952380952,0.11833333333333333
0.4896551724137931,0.8452380952380952,0.12
0.4895833333333333,0.8392857142857143,0.12166666666666667
0.4912891986062718,0.8392857142857143,0.12333333333333334
0.4956063268892794,0.8392857142857143,0.125
0.5017921146953405,0.8333333333333334,0.12666666666666668
0.5054347826086957,0.8303571428571429,0.12833333333333333
0.5072727272727273,0.8303571428571429,0.13
0.5101289134438306,0.8244047619047619,0.13166666666666665
0.5102040816326531,0.8184523809523809,0.13333333333333333
0.5121495327102804,0.8154761904761905,0.135
0.5141242937853108,0.8125,0.13666666666666666
0.5160680529300568,0.8125,0.13833333333333334
0.5190114068441065,0.8125,0.14
0.5210727969348659,0.8095238095238095,0.14166666666666666
0.525096525096525,0.8095238095238095,0.14333333333333334
0.5282651072124757,0.8065476190476191,0.145
0.529296875,0.8065476190476191,0.14666666666666667
0.5346534653465347,0.8035714285714286,0.14833333333333334
0.5347912524850894,0.8005952380952381,0.15
0.5350701402805611,0.7946428571428571,0.15166666666666667
0.5362903225806451,0.7916666666666666,0.15333333333333332
0.540650406504065,0.7916666666666666,0.155
0.5486542443064182,0.7886904761904762,0.15666666666666668
0.5543933054393305,0.7886904761904762,0.15833333333333333
0.5557894736842105,0.7857142857142857,0.16
0.5641025641025641,0.7857142857142857,0.16166666666666665
0.5655913978494623,0.7827380952380952,0.16333333333333333
0.5668103448275862,0.7827380952380952,0.165
0.5673913043478261,0.7767857142857143,0.16666666666666666
0.5655021834061136,0.7708333333333334,0.16833333333333333
0.5720620842572062,0.7678571428571429,0.17
0.5746102449888641,0.7678571428571429,0.17166666666666666
0.57847533632287,0.7678571428571429,0.17333333333333334
0.5788288288288288,0.7648809523809523,0.175
0.5785876993166287,0.7559523809523809,0.17666666666666667
0.5816091954022988,0.7529761904761905,0.17833333333333334
0.5856481481481481,0.7529761904761905,0.18
0.5870069605568445,0.7529761904761905,0.18166666666666667
0.5952941176470589,0.7529761904761905,0.18333333333333332
0.5966981132075472,0.7529761904761905,0.185
0.6004784688995215,0.7470238095238095,0.18666666666666668
0.6024096385542169,0.7440476190476191,0.18833333333333332
0.6053268765133172,0.7440476190476191,0.19
0.6067961165048543,0.7440476190476191,0.19333333333333333
0.6142506142506142,0.7440476190476191,0.19833333333333333
0.6163366336633663,0.7410714285714286,0.2
0.6169154228855721,0.7380952380952381,0.20166666666666666
0.62,0.7380952380952381,0.20333333333333334
0.6231155778894473,0.7380952380952381,0.205
0.6262626262626263,0.7380952380952381,0.20666666666666667
0.6269035532994924,0.7351190476190477,0.20833333333333334
0.6317135549872123,0.7351190476190477,0.21
0.6365979381443299,0.7351190476190477,0.21333333333333335
0.6382428940568475,0.7351190476190477,0.215
0.6415584415584416,0.7351190476190477,0.21666666666666667
0.6473684210526316,0.7321428571428571,0.21833333333333332
0.6481481481481481,0.7291666666666666,0.22333333333333333
0.6497326203208557,0.7232142857142857,0.225
0.6487935656836461,0.7202380952380952,0.22666666666666666
0.6513513513513514,0.7172619047619048,0.22833333333333333
0.6494565217391305,0.7113095238095238,0.23
0.6502732240437158,0.7083333333333334,0.23166666666666666
0.6510989010989011,0.7053571428571429,0.23333333333333334
0.6565096952908587,0.7053571428571429,0.235
0.6573816155988857,0.7023809523809523,0.23833333333333334
0.6582633053221288,0.6994047619047619,0.24
0.6591549295774648,0.6964285714285714,0.24333333333333335
0.6610169491525424,0.6964285714285714,0.245
0.6628895184135978,0.6964285714285714,0.24833333333333332
0.6619318181818182,0.6934523809523809,0.25
0.664756446991404,0.6904761904761905,0.25333333333333335
0.6628242074927954,0.6845238095238095,0.255
0.6656891495601173,0.6755952380952381,0.25833333333333336
0.6696165191740413,0.6755952380952381,0.26
0.6726190476190477,0.6726190476190477,0.2633333333333333
0.6746268656716418,0.6726190476190477,0.265
0.6766467065868264,0.6726190476190477,0.26666666666666666
0.677710843373494,0.6696428571428571,0.27
0.6787878787878788,0.6666666666666666,0.27166666666666667
0.6904024767801857,0.6636904761904762,0.2733333333333333
0.69375,0.6607142857142857,0.275
0.6962025316455697,0.6547619047619048,0.27666666666666667
0.6984126984126984,0.6547619047619048,0.2783333333333333
0.7006369426751592,0.6547619047619048,0.28
0.7041800643086816,0.6517857142857143,0.2833333333333333
0.7055016181229773,0.6488095238095238,0.285
0.7045454545454546,0.6458333333333334,0.2866666666666667
0.7058823529411765,0.6428571428571429,0.28833333333333333
0.7049180327868853,0.6398809523809523,0.29
0.7095709570957096,0.6398809523809523,0.2916666666666667
0.7086092715231788,0.6369047619047619,0.29333333333333333
0.7090301003344481,0.6309523809523809,0.2966666666666667
0.7080536912751678,0.6279761904761905,0.29833333333333334
0.7104377104377104,0.6279761904761905,0.30333333333333334
0.711864406779661,0.625,0.305
0.7167235494880546,0.625,0.30666666666666664
0.7191780821917808,0.625,0.30833333333333335
0.7172413793103448,0.6190476190476191,0.31
0.7197231833910035,0.6190476190476191,0.31166666666666665
0.7202797202797203,0.6130952380952381,0.315
0.723404255319149,0.6071428571428571,0.31666666666666665
0.7259786476868327,0.6071428571428571,0.31833333333333336
0.7285714285714285,0.6071428571428571,0.32
0.7275985663082437,0.6041666666666666,0.32166666666666666
0.7266187050359713,0.6011904761904762,0.325
0.7282608695652174,0.5982142857142857,0.3283333333333333
0.7272727272727273,0.5952380952380952,0.33
0.7289377289377289,0.5922619047619048,0.33166666666666667
0.7316176470588235,0.5922619047619048,0.335
0.7296296296296296,0.5863095238095238,0.33666666666666667
0.7323420074349443,0.5863095238095238,0.3383333333333333
0.7303370786516854,0.5803571428571429,0.34
0.7320754716981132,0.5773809523809523,0.3416666666666667
0.7348484848484849,0.5773809523809523,0.3466666666666667
0.7338403041825095,0.5744047619047619,0.34833333333333333
0.7318007662835249,0.5684523809523809,0.35
0.7364341085271318,0.5654761904761905,0.3516666666666667
0.7421875,0.5654761904761905,0.35833333333333334
0.7401574803149606,0.5595238095238095,0.36
0.746031746031746,0.5595238095238095,0.3616666666666667
0.748,0.5565476190476191,0.365
0.7449392712550608,0.5476190476190477,0.36833333333333335
0.7479674796747967,0.5476190476190477,0.37
0.757201646090535,0.5476190476190477,0.37333333333333335
0.7603305785123967,0.5476190476190477,0.37833333333333335
0.7634854771784232,0.5476190476190477,0.38
0.7689075630252101,0.5446428571428571,0.385
0.7721518987341772,0.5446428571428571,0.38666666666666666
0.774468085106383,0.5416666666666666,0.39
0.7725321888412017,0.5357142857142857,0.3933333333333333
0.7758620689655172,0.5357142857142857,0.395
0.7739130434782608,0.5297619047619048,0.3983333333333333
