threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.05,317,3884,824,19,0.2778264680105171,0.9434523809523809,0.4292484766418415,0.1750212404418012,0.22620935765265662
0.055,316,3967,741,20,0.2989593188268685,0.9404761904761905,0.45369705671213206,0.15739167374681393,0.20955590800951626
0.06,314,4029,679,22,0.3162134944612286,0.9345238095238095,0.472535741158766,0.14422259983007646,0.19686756542426645
0.065,310,4070,638,26,0.3270042194092827,0.9226190476190477,0.48286604361370716,0.13551401869158877,0.1879460745440127
0.07,306,4110,598,30,0.33849557522123896,0.9107142857142857,0.4935483870967743,0.127017841971113,0.17922283901665345
0.075,303,4156,552,33,0.3543859649122807,0.9017857142857143,0.5088161209068011,0.11724723874256585,0.16950832672482158
0.08,302,4191,517,34,0.36874236874236876,0.8988095238095238,0.522943722943723,0.10981308411214953,0.16237113402061856
0.08499999999999999,301,4226,482,35,0.384418901660281,0.8958333333333334,0.5379803395889187,0.10237892948173322,0.15523394131641555
0.09,299,4253,455,37,0.39655172413793105,0.8898809523809523,0.5486238532110093,0.09664401019541206,0.14948453608247422
0.095,294,4295,413,42,0.4158415841584158,0.875,0.5637583892617449,0.08772302463891249,0.1401665344964314
0.09999999999999999,293,4329,379,43,0.43601190476190477,0.8720238095238095,0.5813492063492064,0.08050127442650808,0.13322759714512292
0.105,290,4353,355,46,0.4496124031007752,0.8630952380952381,0.5912334352701326,0.0754035683942226,0.12787470261697065
0.10999999999999999,287,4371,337,49,0.4599358974358974,0.8541666666666666,0.5979166666666667,0.0715802888700085,0.12371134020618557
0.11499999999999999,287,4391,317,49,0.47516556291390727,0.8541666666666666,0.6106382978723405,0.06733220050977061,0.11974623314829501
0.12,284,4412,296,52,0.4896551724137931,0.8452380952380952,0.6200873362445415,0.06287170773152082,0.11498810467882632
0.12499999999999999,282,4421,287,54,0.4956063268892794,0.8392857142857143,0.6232044198895028,0.060960067969413764,0.11280729579698652
0.13,279,4437,271,57,0.5072727272727273,0.8303571428571429,0.6297968397291197,0.057561597281223446,0.10904044409199048
0.135,274,4447,261,62,0.5121495327102804,0.8154761904761905,0.6291618828932262,0.0554375531011045,0.10606661379857256
0.13999999999999999,273,4455,253,63,0.5190114068441065,0.8125,0.6334106728538283,0.053738317757009345,0.10428231562252181
0.145,271,4466,242,65,0.5282651072124757,0.8065476190476191,0.6383981154299176,0.0514018691588785,0.10170499603489294
0.14999999999999997,269,4474,234,67,0.5347912524850894,0.8005952380952381,0.6412395709177592,0.04970263381478335,0.09972244250594767
0.15499999999999997,266,4482,226,70,0.540650406504065,0.7916666666666666,0.6425120772946861,0.04800339847068819,0.09754163362410785
0.15999999999999998,264,4497,211,72,0.5557894736842105,0.7857142857142857,0.6510480887792848,0.04481733220050977,0.09417129262490087
0.16499999999999998,263,4507,201,73,0.5668103448275862,0.7827380952380952,0.6575,0.042693288020390824,0.09199048374306107
0.16999999999999998,258,4515,193,78,0.5720620842572062,0.7678571428571429,0.6556543837357052,0.04099405267629567,0.0894131641554322
0.175,257,4521,187,79,0.5788288288288288,0.7648809523809523,0.6589743589743589,0.0397196261682243,0.0880253766851705
0.18,253,4529,179,83,0.5856481481481481,0.7529761904761905,0.6588541666666666,0.03802039082412914,0.08564631245043616
0.185,253,4537,171,83,0.5966981132075472,0.7529761904761905,0.6657894736842106,0.036321155480033986,0.08406026962727994
0.19,250,4545,163,86,0.6053268765133172,0.7440476190476191,0.6675567423230975,0.03462192013593883,0.08187946074544013
0.195,250,4551,157,86,0.6142506142506142,0.7440476190476191,0.6729475100942127,0.03334749362786746,0.08068992862807296
0.19999999999999996,249,4553,155,87,0.6163366336633663,0.7410714285714286,0.672972972972973,0.03292268479184367,0.08009516256938938
0.20499999999999996,248,4558,150,88,0.6231155778894473,0.7380952380952381,0.6757493188010899,0.0318606627017842,0.0789056304520222
0.20999999999999996,247,4564,144,89,0.6317135549872123,0.7351190476190477,0.6795048143053645,0.03058623619371283,0.07751784298176051
